"id","key","value","type","nb","area","length"
663,"highway","footway","lines",26,NA,2633.01049995348
663,"highway","pedestrian","lines",4,NA,649.625321938975
663,"landuse","grass","multipolygons",0,0,NA
663,"amenity","fast_food","points",15,NA,NA
663,"amenity","pub","points",9,NA,NA
663,"amenity","restaurant","points",46,NA,NA
663,"amenity","bench","points",30,NA,NA
663,"amenity","bench","points",30,NA,NA
663,"amenity","shelter","points",16,NA,NA
663,"amenity","parking","points",48,NA,NA
663,"building","house","points",12,NA,NA
663,"building","retail","points",35,NA,NA
663,"highway","pedestrian","points",390,NA,NA
663,"highway","footway","points",406,NA,NA
663,"historic","monument","points",20,NA,NA
663,"leisure","park","points",59,NA,NA
663,"leisure","pitch","points",25,NA,NA
663,"leisure","playground","points",15,NA,NA
663,"natural","tree","points",94,NA,NA
663,"natural","tree_row","points",20,NA,NA
663,"tourism","museum","points",28,NA,NA
663,"amenity","fast_food","polygons",3,395.356749217957,NA
663,"amenity","pub","polygons",1,837.290506236255,NA
663,"amenity","restaurant","polygons",4,1645.28870768263,NA
663,"leisure","park","polygons",1,8160.43213690445,NA
663,"leisure","pitch","polygons",3,1243.09068802791,NA
663,"leisure","playground","polygons",1,176.171789906381,NA
663,"tourism","museum","polygons",1,2063.96484055719,NA
663,"landuse","grass","polygons",19,5673.85740997334,NA
663,"natural","scrub","polygons",1,3.13426060415804,NA
663,"natural","sand","polygons",5,804.196997884195,NA
663,"historic","monument","polygons",1,113.238347390667,NA
663,"building","house","polygons",1,178.320593327284,NA
663,"building","retail","polygons",3,785.459989322117,NA
663,"amenity","parking","polygons",4,6632.00092527363,NA
663,"landuse","recreation_ground","polygons",1,114.645785186905,NA
663,"landuse","military","polygons",1,457.606955202296,NA
663,"building","shed","polygons",2,102.450453194906,NA
663,"landuse","recreation_ground","points",19,NA,NA
663,"landuse","military","points",4,NA,NA
663,"amenity","ferry_terminal","points",1,NA,NA
663,"building","shed","points",9,NA,NA
663,"highway","steps","lines",2,NA,26.2904665639268
