key;value;group
amenity;monastery;religion
amenity;place_of_worship;religion
building;cathedral;religion
building;chapel;religion
building;church;religion
building;kingdom_hall;religion
building;monastery;religion
building;mosque;religion
building;presbytery;religion
building;religious;religion
building;shrine;religion
building;synagogue;religion
building;temple;religion
historic;church;religion
historic;monastery;religion
historic;mosque;religion
historic;temple;religion
landuse;religious;religion
amenity;bar;loisirs
amenity;biergarten;loisirs
amenity;cafe;loisirs
amenity;fast_food;loisirs
amenity;food_court;loisirs
amenity;ice_cream;loisirs
amenity;pub;loisirs
amenity;restaurant;loisirs
amenity;casino;loisirs
amenity;cinema;loisirs
amenity;nightclub;loisirs
amenity;planetarium;loisirs
amenity;public_bookcase;loisirs
amenity;theatre;loisirs
amenity;bench;loisirs
building;hotel;loisirs
building;commercial;loisirs
building;kiosk;loisirs
building;houseboat;infrastructure
building;museum;loisirs
building;boathouse;infrastructure
highway;pedestrian;infrastructure
highway;footway;infrastructure
highway;bridleway;infrastructure
highway;path;infrastructure
highway;sidewalk;infrastructure
highway;cycleway;infrastructure
leisure;dog_park;loisirs
leisure;fishing;loisirs
leisure;garden;loisirs
leisure;marina;loisirs
leisure;nature_reserve;environnement
leisure;park;loisirs
leisure;picnic_table;loisirs
leisure;pitch;loisirs
leisure;playground;loisirs
leisure;swimming_area;loisirs
leisure;track;loisirs
leisure;water_park;loisirs
route;ferry;loisirs
route;canoe;loisirs
route;footway;loisirs
route;hiking;loisirs
tourism;hostel;loisirs
tourism;hotel;loisirs
tourism;motel;loisirs
tourism;museum;loisirs
tourism;picnic_site;loisirs
tourism;viewpoint;loisirs
tourism;wilderness_hut;loisirs
tourism;artwork;loisirs
tourism;apartment;loisirs
tourism;attraction;loisirs
tourism;gallery;loisirs
tourism;zoo;loisirs
building;bridge;infrastructure
building;water_tower;infrastructure
landuse;basin;infrastructure
landuse;reservoir;infrastructure
man_made;beacon;infrastructure
man_made;breakwater;infrastructure
man_made;bridge;infrastructure
man_made;dyke;infrastructure
man_made;embankment;infrastructure
man_made;groyne;infrastructure
man_made;lighthouse;infrastructure
man_made;mast;infrastructure
man_made;pier;infrastructure
man_made;pipeline;infrastructure
man_made;pump;infrastructure
man_made;pumping_station;infrastructure
man_made;wastewater_plant;infrastructure
man_made;watermill;infrastructure
man_made;water_tower;infrastructure
man_made;water_well;infrastructure
man_made;water_tap;infrastructure
man_made;water_works;infrastructure
building;industrial;industrie
landuse;industrial;industrie
landuse;landfill;industrie
landuse;port;industrie
landuse;quarry;industrie
landuse;institutional;bâti
landuse;flowerbed;environnement
landuse;forest;environnement
landuse;greenhouse_horticulture;agriculture
landuse;meadow;agriculture
landuse;orchard;agriculture
landuse;plant_nursery;agriculture
landuse;vineyard;agriculture
landuse;brownfield;industrie
landuse;grass;environnement
landuse;greenfield;bâti
natural;fell;environnement
natural;grassland;environnement
natural;heath;environnement
natural;moor;environnement
natural;scrub;environnement
natural;shrubbery;environnement
natural;tree;environnement
natural;tree_row;environnement
natural;tundra;environnement
natural;wood;environnement
natural;bay;environnement
natural;beach;loisirs
natural;blowhole;environnement
natural;cape;environnement
natural;coastline;environnement
natural;crevasse;environnement
natural;geyser;environnement
natural;glacier;environnement
natural;hot_spring;environnement
natural;isthmus;environnement
natural;mud;environnement
natural;peninsula;environnement
natural;reef;environnement
natural;shingle;environnement
natural;shoal;environnement
natural;spring;environnement
natural;strait;environnement
natural;wetland;environnement
natural;arch;environnement
natural;arete;environnement
natural;bare_rock;environnement
natural;blockfield;environnement
natural;cave_entrance;environnement
natural;cliff;environnement
natural;dune;environnement
natural;earth_bank;environnement
natural;fumarole;environnement
natural;hill;environnement
natural;peak;environnement
natural;ridge;environnement
natural;rock;environnement
natural;saddle;environnement
natural;sand;environnement
natural;scree;environnement
natural;sinkhole;environnement
natural;stone;environnement
natural;valley;environnement
natural;volcano;environnement
historic;castle;bâti
historic;manor;bâti
historic;memorial;bâti
historic;milestone;bâti
historic;monument;bâti
historic;ruins;bâti
building;apartments;bâti
building;house;bâti
building;residential;bâti
building;office;bâti
building;retail;bâti
building;hangar;bâti
building;construction;bâti
landuse;commercial;bâti
landuse;construction;bâti
landuse;education;bâti
landuse;residential;bâti
amenity;drinking_water;aménité
amenity;water_point;aménité
amenity;watering_place;aménité
amenity;bench;aménité
amenity;shelter;aménité
amenity;shower;aménité
amenity;telephone;aménité
amenity;toilets;aménité
amenity;recycling;aménité
amenity;waste_basket;aménité
amenity;waste_disposal;aménité
amenity;waste_transfer_station;aménité
amenity;bicycle_parking;aménité
amenity;bicycle_repair_station;aménité
amenity;bicycle_rental;aménité
amenity;fountain;aménité
amenity;parking;aménité
building;supermarket;aménité
building;hospital;aménité
building;school;aménité
building;university;aménité
building;parking;aménité
emergency;drinking_water;aménité
tourism;information;aménité
shop;alcohol;loisirs
shop;bakery;aménité
shop;beverages;loisirs
shop;brewing_supplies;loisirs
shop;butcher;aménité
shop;cheese;aménité
shop;chocolate;loisirs
shop;coffee;loisirs
shop;confectionery;loisirs
shop;convenience;aménité
shop;deli;loisirs
shop;dairy;loisirs
shop;farm;loisirs
shop;frozen_food;loisirs
shop;greengrocer;loisirs
shop;health_food;loisirs
shop;ice_cream;loisirs
shop;pasta;loisirs
shop;pastry;loisirs
shop;seafood;loisirs
shop;spices;loisirs
shop;tea;loisirs
shop;wine;loisirs
shop;water;aménité
shop;food;aménité
shop;department_store;aménité
shop;general;aménité
shop;kiosk;aménité
shop;mall;aménité
shop;supermarket;aménité
shop;wholesale;aménité
shop;baby_goods;loisirs
shop;bag;loisirs
shop;boutique;loisirs
shop;clothes;loisirs
shop;fabric;loisirs
shop;fashion;loisirs
shop;fashion_accessories;loisirs
shop;jewelry;loisirs
shop;leather;loisirs
shop;sewing;loisirs
shop;shoes;loisirs
shop;shoe_repair;loisirs
shop;tailor;loisirs
shop;watches;loisirs
shop;wool;loisirs
shop;charity;loisirs
shop;second_hand;loisirs
shop;variety_store;loisirs
shop;beauty;loisirs
shop;chemist;loisirs
shop;cosmetics;loisirs
shop;erotic;loisirs
shop;hairdresser;loisirs
shop;hairdresser_supply;loisirs
shop;hearing_aids;loisirs
shop;herbalist;loisirs
shop;massage;loisirs
shop;medical_supply;loisirs
shop;nutrition_supplements;loisirs
shop;optician;loisirs
shop;perfumery;loisirs
shop;tattoo;loisirs
shop;agrarian;loisirs
shop;appliance;loisirs
shop;bathroom_furnishing;loisirs
shop;doityourself;loisirs
shop;electrical;loisirs
shop;energy;loisirs
shop;fireplace;loisirs
shop;florist;loisirs
shop;garden_centre;loisirs
shop;garden_furniture;loisirs
shop;gas;loisirs
shop;glaziery;loisirs
shop;groundskeeping;loisirs
shop;hardware;loisirs
shop;houseware;loisirs
shop;locksmith;loisirs
shop;paint;loisirs
shop;pottery;loisirs
shop;security;loisirs
shop;trade;loisirs
shop;antiques;loisirs
shop;bed;loisirs
shop;candles;loisirs
shop;carpet;loisirs
shop;boat;loisirs
shop;car;loisirs
shop;car_repair;loisirs
shop;motorcycle_repair;loisirs
shop;car_parts;loisirs
shop;caravan;loisirs
shop;fuel;loisirs
shop;fishing;loisirs
shop;surf;loisirs
shop;golf;loisirs
shop;ski;loisirs
shop;snowmobile;loisirs
shop;sports;loisirs
shop;swimming_pool;loisirs
shop;trailer;loisirs
shop;tyres;loisirs
shop;art;loisirs
shop;camera;loisirs
shop;collector;loisirs
shop;craft;loisirs
shop;frame;loisirs
shop;games;loisirs
shop;model;loisirs
shop;music;loisirs
shop;musical_instrument;loisirs
shop;photo;loisirs
shop;trophy;loisirs
shop;video;loisirs
shop;video_games;loisirs
shop;anime;loisirs
shop;books;loisirs
shop;gift;loisirs
shop;lottery;loisirs
shop;newsagent;loisirs
shop;stationery;loisirs
shop;ticket;loisirs
shop;bookmaker;loisirs
shop;cannabis;loisirs
shop;copyshop;loisirs
shop;religion;religion
shop;storage_rental;loisirs
shop;tobacco;loisirs
shop;toys;loisirs
shop;travel_agency;loisirs
shop;weapons;loisirs
landuse;recreation_ground;loisirs
amenity;marketplace;aménité
amenity;pharmacy;aménité
amenity;bank;aménité
highway;steps;aménité
highway;bus_stop;aménité
landuse;military;infrastructure
railway;subway;aménité
